stage,gamma,LR
1,1.0847228998586254,118.83745917159929
1,1.096384922994509,117.16010793272469
1,1.1239035105968391,115.90102723874243
1,1.147936369664901,111.32634327180762
1,1.1632112492160145,107.52256687391821
1,1.1852550569029232,104.36530362402284
1,1.192931435567932,88.03443499885222
1,1.2052914993926356,79.34914243695334
1,1.2122117411374131,75.13346961521482
1,1.2340884159525585,73.12718055350939
1,1.2467551533791392,55.979865035380286
1,1.2631917390327965,37.19756410140224
1,1.2786062602269992,11.136026144857516
1,1.2957763552924886,17.484432893325938
1,1.3378337603103352,26.54818322128399
1,1.339708930699915,57.73121436544224
1,1.3464504752180184,65.49550346329225
1,1.3587975688732807,67.97694210631545
1,1.3684292347242657,75.58115111236714
1,1.3777877449926414,86.6099755077156
1,1.4031002618289166,95.74351859914894
1,1.4307119837284141,96.31139100115453
1,1.4446252142379377,102.13727260987194
1,1.4550544953122946,105.35458378744494
1,1.463834906966365,109.7430034629405
1,1.4670431162877346,111.24718248433177
1,1.4693161866115076,115.66669121999163
1,1.4855779495878234,118.02648602155332
1,1.4915185368402581,118.40199490264858
1,1.4994250614827862,119.15744279138183
1,1.5041675159528407,119.04879911677804
1,1.5165616343084678,118.94058041984228
1,1.523865622619982,118.92896774782281
1,1.5309506262581447,119.22564367500833
1,1.537093074036295,119.05422290683464
1,1.5460192451361758,118.92329839370973
1,1.5610712501387718,118.86588102933958
1,1.566444799610142,118.88643848583844
1,1.5776765659077596,118.82244831855475
1,1.5941822657211888,117.69903119432128
1,1.6045091274866494,116.01215380160303
1,1.6121537147260299,116.14422356761955
1,1.6195377302541119,115.72736970488658
1,1.6242831189164284,112.75439407983262
1,1.6257931690901795,113.22904705036477
1,1.6410632924446515,112.92134391361098
1,1.650883458969554,110.9782233970293
1,1.654821855548771,109.39709143890207
1,1.6574570076036863,109.31751490146213
1,1.660913470613324,111.03962429638838
1,1.6720069424550341,111.23936323128159
1,1.6767927689005768,109.31546029482509
1,1.682559115389067,109.97625021372968
1,1.6915157527047675,110.15778886587721
1,1.7033228740302027,110.26583313226139
1,1.7154651111132704,110.41366231783326
1,1.7201622771380602,109.47217251012407
1,1.7243461312903403,108.30666026043582
1,1.729711585192689,109.35138909917653
1,1.732579714238038,107.93223079082328
1,1.7373611482898998,107.15652381933332
1,1.743229419189412,106.28303836412478
1,1.7550236492601268,102.77320859783642
1,1.7612551428613952,101.16803642033723
1,1.7713355105658328,99.49297163537588
1,1.7779747648037432,96.76079675899419
1,1.784184446760592,102.03852832576064
1,1.798933917576006,105.9608076592637
1,1.803426636990615,105.81572144749346
1,1.810453548691118,105.96374335200312
1,1.8270755436230788,102.7603085586424
1,1.830833396680446,103.07552743187175
1,1.8396142913418767,101.8419192859691
1,1.849125413921224,104.34358824616088
1,1.8610004334287626,108.72083858044759
1,1.874131768587342,108.9768930553546
1,1.8776299788995645,110.53823199752172
1,1.8842679054942038,113.12001339884824
1,1.8868234545821163,113.45571882984353
1,1.8896025197414312,115.49242909201787
1,1.901653073709289,116.1071808269225
1,1.9088308042661446,115.88801148701505
1,1.9191270450545013,115.3389759415667
1,1.9281472111458389,115.63048568008477
1,1.9422253964073501,116.59341512570462
1,1.9548117554725206,116.68860222882647
1,1.9659745226238552,117.46383099521245
1,1.9924051907565234,118.48691346211733
1,2.003841196181539,119.2063282801627
1,2.028766335434596,119.23299227883206
1,2.0426551575917538,117.92528319958409
1,2.0772726960815344,116.20627768094373
