Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
F1,Best,2.326E+04,5.058E+03,2.850E+10,1.138E+10,6.144E+09,9.968E+10,3.472E+07,2.348E+01,4.581E+09,1.795E+06,1.382E+02
,Mean,6.651E+04,1.608E+04,5.906E+10,4.678E+10,9.565E+09,1.607E+11,6.267E+07,2.417E+03,7.486E+10,3.418E+09,1.811E+03
,Std,3.119E+04,8.455E+03,1.924E+10,4.878E+10,3.441E+09,5.336E+10,2.142E+07,4.909E+03,5.113E+10,6.245E+09,1.154E+03
,Rank,4,3,9,8,7,11,5,2,10,6,1
F3,Best,2.970E+04,1.478E+04,7.185E+04,4.458E+03,9.609E+04,7.280E+04,7.693E+03,3.052E+04,2.495E+04,2.701E+04,7.233E+01
,Mean,4.064E+04,3.110E+04,8.372E+04,1.634E+04,1.146E+05,8.100E+04,1.182E+04,4.495E+04,4.359E+04,1.010E+05,2.081E+04
,Std,8.160E+03,8.710E+03,7.535E+03,1.147E+04,1.273E+04,6.822E+03,4.071E+03,8.553E+03,1.241E+04,7.183E+04,3.075E+04
,Rank,5,4,9,2,11,8,1,7,6,10,3
F4,Best,7.461E+01,7.469E+01,2.583E+02,1.316E+02,1.537E+02,4.482E+02,9.359E+01,8.926E+01,2.174E+02,1.157E+02,8.582E+01
,Mean,9.967E+01,1.117E+02,4.351E+02,3.160E+02,1.816E+02,9.990E+02,1.247E+02,9.004E+01,6.563E+02,5.042E+02,8.730E+01
,Std,1.550E+01,1.626E+01,1.808E+02,1.553E+02,1.961E+01,4.932E+02,2.458E+01,9.158E-01,3.119E+02,5.812E+02,1.127E+00
,Rank,3,4,8,7,6,11,5,2,10,9,1
F5,Best,5.087E+01,5.911E+01,1.857E+02,1.566E+02,1.477E+02,2.576E+02,1.194E+02,1.730E+01,9.066E+01,1.190E+02,5.804E+01
,Mean,7.108E+01,7.537E+01,2.371E+02,2.354E+02,1.645E+02,3.043E+02,1.674E+02,9.619E+01,1.334E+02,1.986E+02,7.677E+01
,Std,1.457E+01,1.420E+01,2.465E+01,5.106E+01,1.176E+01,3.936E+01,4.879E+01,6.213E+01,2.610E+01,5.827E+01,1.018E+01
,Rank,1,2,10,9,6,11,7,4,5,8,3
F6,Best,5.631E+00,3.888E+00,2.511E+01,4.124E+01,1.934E+01,5.415E+01,4.867E+01,5.941E-02,2.868E+01,3.221E+01,1.388E-01
,Mean,9.947E+00,8.359E+00,3.187E+01,7.414E+01,2.869E+01,7.913E+01,6.770E+01,2.354E-01,4.128E+01,5.818E+01,3.284E-01
,Std,3.281E+00,3.591E+00,4.578E+00,1.805E+01,5.738E+00,1.581E+01,1.482E+01,1.149E-01,8.269E+00,1.341E+01,1.234E-01
,Rank,4,3,6,10,5,11,9,1,7,8,2
F7,Best,8.664E+01,7.474E+01,2.369E+02,2.913E+02,1.858E+02,4.024E+02,2.258E+02,4.816E+01,1.451E+02,2.596E+02,9.291E+01
,Mean,1.292E+02,1.245E+02,3.006E+02,4.189E+02,2.519E+02,5.416E+02,2.605E+02,1.645E+02,2.821E+02,3.321E+02,1.113E+02
,Std,2.676E+01,3.138E+01,4.010E+01,8.682E+01,2.901E+01,8.242E+01,2.768E+01,6.480E+01,7.913E+01,5.467E+01,9.115E+00
,Rank,3,2,8,10,5,11,6,4,7,9,1
F8,Best,5.799E+01,4.964E+01,1.557E+02,1.230E+02,1.238E+02,2.449E+02,1.222E+02,2.010E+01,8.375E+01,8.171E+01,5.766E+01
,Mean,7.851E+01,7.560E+01,1.965E+02,1.665E+02,1.498E+02,2.801E+02,1.509E+02,8.659E+01,1.040E+02,1.487E+02,7.604E+01
,Std,1.021E+01,1.860E+01,2.910E+01,2.741E+01,1.309E+01,3.384E+01,2.102E+01,6.371E+01,1.944E+01,4.046E+01,8.745E+00
,Rank,3,1,10,9,7,11,8,4,5,6,2
F9,Best,2.516E+01,1.382E+01,1.465E+03,4.989E+03,9.508E+02,6.970E+03,2.723E+03,8.953E-02,9.422E+02,2.674E+03,9.941E-04
,Mean,1.523E+02,6.932E+01,2.044E+03,6.562E+03,1.483E+03,9.168E+03,7.624E+03,9.370E-01,2.649E+03,4.120E+03,1.632E-01
,Std,1.418E+02,8.124E+01,8.093E+02,1.614E+03,4.388E+02,1.790E+03,3.729E+03,7.716E-01,1.629E+03,1.065E+03,1.648E-01
,Rank,4,3,6,9,5,11,10,2,7,8,1
F10,Best,2.687E+03,3.054E+03,5.031E+03,4.226E+03,5.437E+03,6.490E+03,3.403E+03,7.068E+03,3.710E+03,3.943E+03,3.123E+03
,Mean,3.643E+03,3.777E+03,5.801E+03,4.777E+03,6.012E+03,7.075E+03,3.886E+03,7.497E+03,6.263E+03,5.034E+03,4.114E+03
,Std,6.094E+02,3.930E+02,3.175E+02,4.810E+02,3.474E+02,3.599E+02,4.889E+02,2.491E+02,1.122E+03,1.011E+03,4.223E+02
,Rank,1,2,7,5,8,10,3,11,9,6,4
F11,Best,8.584E+01,7.113E+01,2.332E+03,1.445E+02,2.947E+02,1.035E+03,9.269E+01,6.309E+00,2.269E+02,1.902E+02,1.367E+01
,Mean,1.274E+02,1.031E+02,4.212E+03,2.761E+02,3.778E+02,2.711E+03,1.699E+02,5.465E+01,4.049E+02,8.280E+02,6.295E+01
,Std,2.833E+01,2.205E+01,1.050E+03,7.255E+01,4.216E+01,1.075E+03,4.842E+01,2.689E+01,2.023E+02,1.469E+03,3.405E+01
,Rank,4,3,11,6,7,10,5,1,8,9,2
F12,Best,2.820E+05,4.715E+05,5.701E+09,2.435E+07,2.579E+08,2.330E+09,5.693E+06,1.553E+05,3.913E+08,1.603E+06,1.448E+04
,Mean,1.428E+06,1.253E+06,6.759E+09,5.016E+08,4.077E+08,5.877E+09,3.152E+07,6.063E+05,1.729E+09,1.182E+08,4.089E+04
,Std,9.553E+05,4.312E+05,1.183E+09,1.168E+09,1.119E+08,2.147E+09,1.866E+07,2.300E+05,1.067E+09,1.477E+08,2.256E+04
,Rank,4,3,11,8,7,10,5,2,9,6,1
F13,Best,6.252E+02,1.754E+03,4.266E+05,1.271E+04,2.251E+07,9.088E+08,2.214E+05,1.467E+03,1.289E+05,1.097E+04,1.541E+03
,Mean,1.106E+04,1.341E+04,2.359E+09,8.456E+07,6.723E+07,2.528E+09,1.770E+06,1.325E+04,3.900E+08,1.262E+09,3.478E+03
,Std,9.960E+03,1.560E+04,1.452E+09,2.239E+08,8.513E+07,1.605E+09,2.159E+06,1.526E+04,8.932E+08,3.307E+09,1.066E+03
,Rank,2,4,10,7,6,11,5,3,8,9,1
F14,Best,2.022E+03,8.423E+03,2.454E+05,4.558E+02,2.681E+04,3.925E+05,1.123E+04,1.596E+03,9.353E+03,1.115E+03,1.129E+02
,Mean,2.551E+04,5.124E+04,1.099E+06,3.327E+03,6.365E+04,1.198E+06,7.798E+04,2.750E+04,4.522E+04,1.161E+05,1.475E+02
,Std,1.866E+04,4.759E+04,1.034E+06,3.287E+03,3.295E+04,6.493E+05,7.388E+04,3.647E+04,4.735E+04,1.265E+05,2.816E+01
,Rank,3,6,10,2,7,11,8,4,5,9,1
F15,Best,5.770E+02,4.035E+02,3.189E+07,4.150E+03,6.053E+05,6.980E+06,2.662E+04,6.303E+01,1.166E+04,3.318E+03,1.107E+02
,Mean,5.371E+03,2.131E+04,1.739E+08,2.280E+04,6.665E+06,1.134E+08,1.348E+05,7.123E+03,4.095E+06,1.973E+04,2.799E+02
,Std,3.634E+03,2.401E+04,2.072E+08,2.772E+04,1.164E+07,1.576E+08,1.186E+05,5.327E+03,1.070E+07,1.509E+04,1.236E+02
,Rank,2,5,11,6,9,10,7,3,8,4,1
F16,Best,5.591E+02,1.959E+02,1.180E+03,1.097E+03,8.673E+02,1.656E+03,8.103E+02,1.470E+01,8.391E+02,1.058E+03,2.730E+02
,Mean,8.214E+02,7.371E+02,1.789E+03,1.458E+03,1.144E+03,2.237E+03,1.067E+03,9.598E+02,1.189E+03,1.504E+03,8.294E+02
,Std,1.792E+02,3.926E+02,3.489E+02,2.989E+02,2.061E+02,4.071E+02,1.753E+02,6.101E+02,2.305E+02,4.260E+02,2.307E+02
,Rank,2,1,10,8,6,11,5,4,7,9,3
F17,Best,6.372E+01,7.948E+01,3.573E+02,2.466E+02,2.854E+02,5.899E+02,2.586E+02,7.129E+01,2.562E+02,4.345E+02,1.142E+02
,Mean,3.425E+02,2.220E+02,7.332E+02,6.676E+02,4.089E+02,9.946E+02,5.217E+02,3.330E+02,5.863E+02,7.797E+02,1.941E+02
,Std,1.467E+02,1.475E+02,1.950E+02,2.803E+02,5.744E+01,3.511E+02,1.862E+02,2.582E+02,1.908E+02,1.682E+02,5.084E+01
,Rank,4,2,9,8,5,11,6,3,7,10,1
F18,Best,8.800E+04,7.992E+04,9.065E+05,3.329E+04,2.116E+05,1.323E+06,2.924E+05,4.288E+04,2.653E+04,4.954E+04,1.755E+02
,Mean,7.022E+05,2.640E+05,5.617E+06,1.964E+05,1.332E+06,6.992E+06,7.664E+05,5.008E+05,3.510E+05,1.106E+06,4.822E+04
,Std,7.806E+05,1.354E+05,6.395E+06,1.668E+05,1.000E+06,6.704E+06,6.093E+05,7.456E+05,4.441E+05,1.608E+06,1.352E+05
,Rank,6,3,10,2,9,11,7,5,4,8,1
F19,Best,1.341E+03,8.126E+02,2.046E+06,4.444E+02,7.476E+05,3.763E+07,1.376E+04,3.488E+01,1.265E+05,2.043E+03,5.885E+01
,Mean,1.962E+04,3.803E+04,7.057E+07,1.216E+05,7.290E+06,1.940E+08,4.467E+04,1.203E+04,6.480E+06,4.816E+06,1.167E+02
,Std,4.376E+04,7.264E+04,1.270E+08,3.232E+05,9.426E+06,2.211E+08,2.685E+04,1.273E+04,6.962E+06,1.351E+07,4.405E+01
,Rank,3,4,10,6,9,11,5,2,8,7,1
F20,Best,7.467E+01,8.965E+01,3.025E+02,2.630E+02,2.618E+02,5.871E+02,4.008E+02,5.508E+01,1.697E+02,2.660E+02,1.016E+02
,Mean,3.260E+02,3.173E+02,6.248E+02,6.370E+02,4.045E+02,8.033E+02,6.319E+02,3.557E+02,5.143E+02,5.763E+02,3.252E+02
,Std,1.627E+02,1.852E+02,1.762E+02,2.020E+02,1.233E+02,1.827E+02,1.610E+02,2.832E+02,1.599E+02,1.449E+02,9.504E+01
,Rank,3,1,8,10,5,11,9,4,6,7,2
F21,Best,2.403E+02,2.402E+02,3.474E+02,3.242E+02,3.307E+02,3.947E+02,3.084E+02,2.092E+02,2.902E+02,3.312E+02,2.603E+02
,Mean,2.685E+02,2.570E+02,3.858E+02,3.871E+02,3.525E+02,4.695E+02,3.601E+02,2.552E+02,3.381E+02,3.782E+02,2.746E+02
,Std,1.642E+01,1.295E+01,3.044E+01,5.934E+01,1.298E+01,4.098E+01,5.140E+01,5.893E+01,2.915E+01,2.823E+01,8.697E+00
,Rank,3,2,9,10,6,11,7,1,5,8,4
F22,Best,1.011E+02,1.010E+02,4.674E+02,2.040E+02,1.761E+03,7.398E+02,1.166E+02,1.000E+02,6.970E+02,1.197E+02,1.000E+02
,Mean,1.039E+02,1.039E+02,1.785E+03,1.894E+03,5.678E+03,4.057E+03,1.870E+03,1.210E+02,4.836E+03,3.934E+03,1.000E+02
,Std,2.052E+00,2.347E+00,1.317E+03,2.228E+03,1.471E+03,2.669E+03,1.998E+03,4.008E+01,2.834E+03,2.815E+03,3.414E-02
,Rank,2,3,5,7,11,9,6,4,10,8,1
F23,Best,3.880E+02,3.988E+02,4.849E+02,4.571E+02,4.817E+02,6.219E+02,4.689E+02,3.668E+02,5.128E+02,5.027E+02,4.037E+02
,Mean,4.045E+02,4.155E+02,5.411E+02,5.814E+02,5.201E+02,6.793E+02,5.549E+02,3.910E+02,5.672E+02,6.406E+02,4.239E+02
,Std,1.339E+01,1.058E+01,4.289E+01,7.724E+01,1.847E+01,4.960E+01,3.998E+01,3.520E+01,4.346E+01,1.140E+02,9.950E+00
,Rank,2,3,6,9,5,11,7,1,8,10,4
F24,Best,4.559E+02,4.473E+02,5.396E+02,5.716E+02,5.611E+02,6.424E+02,6.300E+02,4.370E+02,5.233E+02,5.908E+02,4.712E+02
,Mean,4.849E+02,4.827E+02,5.885E+02,6.516E+02,5.758E+02,7.459E+02,7.089E+02,4.650E+02,5.638E+02,6.907E+02,4.899E+02
,Std,3.103E+01,2.618E+01,2.807E+01,5.588E+01,1.116E+01,5.168E+01,8.463E+01,4.117E+01,4.054E+01,9.038E+01,1.184E+01
,Rank,3,2,7,8,6,11,10,1,5,9,4
F25,Best,3.889E+02,3.841E+02,4.995E+02,4.979E+02,4.359E+02,5.703E+02,3.859E+02,3.873E+02,4.954E+02,3.911E+02,3.868E+02
,Mean,4.224E+02,3.958E+02,5.720E+02,5.255E+02,4.787E+02,7.616E+02,4.126E+02,3.884E+02,7.641E+02,4.233E+02,3.869E+02
,Std,1.876E+01,1.604E+01,3.936E+01,2.927E+01,3.145E+01,1.504E+02,2.298E+01,6.296E-01,2.399E+02,3.650E+01,1.007E-01
,Rank,5,3,9,8,7,10,4,2,11,6,1
F26,Best,1.713E+03,3.756E+02,1.618E+03,2.125E+03,2.529E+03,3.191E+03,3.126E+02,1.038E+03,2.412E+03,2.181E+03,1.527E+03
,Mean,1.973E+03,1.611E+03,2.848E+03,4.274E+03,2.779E+03,4.038E+03,2.687E+03,1.172E+03,3.167E+03,3.775E+03,1.729E+03
,Std,1.794E+02,4.528E+02,4.846E+02,1.458E+03,1.698E+02,6.176E+02,9.722E+02,8.246E+01,6.399E+02,7.755E+02,9.375E+01
,Rank,4,2,7,11,6,10,5,1,8,9,3
F27,Best,5.164E+02,4.906E+02,5.734E+02,5.270E+02,5.350E+02,5.848E+02,5.186E+02,5.005E+02,5.880E+02,5.172E+02,4.972E+02
,Mean,5.320E+02,5.140E+02,6.035E+02,6.097E+02,5.538E+02,6.326E+02,5.562E+02,5.079E+02,6.602E+02,6.034E+02,5.089E+02
,Std,1.316E+01,1.219E+01,2.854E+01,9.093E+01,8.598E+00,2.339E+01,2.927E+01,3.807E+00,4.751E+01,6.228E+01,5.975E+00
,Rank,4,3,8,9,5,10,6,1,11,7,2
F28,Best,4.120E+02,4.127E+02,6.628E+02,5.689E+02,5.301E+02,7.209E+02,4.662E+02,4.138E+02,6.863E+02,4.656E+02,3.796E+02
,Mean,4.449E+02,4.481E+02,7.372E+02,7.261E+02,5.833E+02,1.224E+03,4.987E+02,4.395E+02,9.622E+02,9.884E+02,4.082E+02
,Std,2.618E+01,2.607E+01,4.272E+01,2.076E+02,2.925E+01,2.903E+02,5.275E+01,2.473E+01,1.902E+02,8.004E+02,1.603E+01
,Rank,3,4,8,7,6,11,5,2,9,10,1
F29,Best,6.533E+02,5.111E+02,1.252E+03,1.052E+03,9.337E+02,1.658E+03,7.276E+02,4.551E+02,8.963E+02,1.036E+03,6.286E+02
,Mean,8.204E+02,8.171E+02,1.571E+03,1.650E+03,1.100E+03,2.080E+03,1.037E+03,6.248E+02,1.294E+03,1.345E+03,6.578E+02
,Std,1.433E+02,2.309E+02,1.828E+02,4.585E+02,1.275E+02,3.025E+02,1.873E+02,1.265E+02,2.726E+02,2.423E+02,3.535E+01
,Rank,4,3,9,10,6,11,5,1,7,8,2
F30,Best,1.215E+04,8.397E+03,3.945E+08,2.062E+05,7.366E+06,7.119E+07,1.478E+05,3.992E+03,1.225E+06,2.180E+04,3.847E+03
,Mean,6.471E+04,7.392E+04,4.640E+08,3.984E+06,2.046E+07,2.329E+08,5.899E+05,6.239E+03,4.893E+07,1.089E+06,7.460E+03
,Std,6.134E+04,9.241E+04,4.433E+07,5.311E+06,7.618E+06,1.525E+08,5.390E+05,3.209E+03,4.754E+07,2.188E+06,1.960E+03
,Rank,3,4,11,7,8,10,5,1,9,6,2
