Algorithm,10D,30D,Average,Rank
MSSBOA,3.759,3.966,3.862,4
SBOA,3.517,3.034,3.276,2
MISBOA,4.862,4.862,4.862,5
CGSBOA,3.862,3.621,3.741,3
LTSBOA,3.172,1.897,2.534,1
TSA,6.724,7.345,7.034,8
MS-TSA,8.207,8.690,8.448,9
CPA,6.207,5.862,6.034,7
I-CPA,4.690,5.724,5.207,6
