firm,year,ind,prov,SOE,East,Exposure,DigBase,Phone,Post,rel,Size,ROA,Lev,Growth,TobinQ,Board,Indep,CR,Fixed,Intan,FirmAge,Dual,GAI,Train,EntryTask,OLC,ILM,Youth,Mid,lnYouthN,Promo,IV_bartik,IV_phone,Treat,HighExp
0,2014,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-8,21.625261544513442,0.048183383678527425,0.7045005658392518,-0.36954838743726554,0.79,2.2682537622730945,0.369655980043383,0.17242933867070442,0.29053350232228364,0.0,2.833213344056216,0,0.49423824105375497,0.8832351431039739,0.34773241518405046,2.1675565293891883,0.23797721725066212,0.11186087147334306,0.2829335912768361,6.516793560836964,0.07478795235603128,1.1731428650896722,0.003691467673554945,0.0,1
0,2015,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-7,22.905397135433194,0.014201746137120667,0.5764223689613623,-0.6775198124778627,2.7960297364620077,2.339863417091083,0.3869075667259152,0.7876284399619978,0.18366262353626175,0.0567937833872252,2.8903717578961645,0,0.2983252958070808,0.837771547464522,0.5107869823917272,0.8238453433312305,0.4868579864313849,0.16537224146292012,0.19956356446757806,8.047297013646785,0.07041357194725731,1.1705900868181607,0.00498296015203024,0.0,1
0,2016,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-6,22.153001991293994,0.09700178685938537,0.6240736100762565,0.25308112973048913,0.9248432830179097,1.7326810450635104,0.3385824364953708,0.40571240025082134,0.2188195426099475,0.01967963585343866,2.9444389791664403,0,0.0,1.1506538498556034,0.4250577126150242,-0.18929591167413962,0.47970302159778816,0.13804406005809905,0.135642123920919,7.199392015128412,0.15832608015651847,1.2577956965508579,0.006726292649018278,0.0,1
0,2017,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-5,20.502482734299374,0.06282516761955975,0.18604389767192275,0.15751533554581543,1.7430265249866994,2.216056559906345,0.3755683400249157,1.5639351772570675,0.37326868044173683,0.0447819399010178,2.995732273553991,1,0.6451489673349358,0.8180206602039987,0.45302312698283465,-0.24940851036979683,0.31759607112309257,0.1528055704522522,0.1843413665908806,5.523065386469617,0.11826300915865028,1.2248833211904189,0.009079545374611047,0.0,1
0,2018,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-4,23.17317374623955,0.08846203579408543,0.3549973710499028,0.4381261567652651,1.9250680653012164,1.735378876862018,0.40557982900540496,0.7720835001099963,0.07342596936368867,0.09295513219042129,3.044522437723423,0,0.9017421910011527,1.1616441640698054,0.5177217321058992,0.3989190120169112,0.5839595235747851,0.24177744170621332,0.2737273123892462,8.98007203195589,0.11215231184068843,1.2763790050614479,0.012256104292704684,0.0,1
0,2019,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-3,24.679839369934857,0.026113044665501406,0.43529925765341493,-0.4140956987387593,1.0627886740038315,2.186512403716263,0.3523310981013696,0.8918964157223757,0.31007526121368467,0.028852418004303132,3.091042453358316,0,0.0,1.4069913270984766,0.561225864923883,0.43509839312810766,0.47912824375478635,0.2788252249100754,0.2847661090322909,10.48518622926121,0.08661998968541586,1.2170166217207556,0.01654401032607748,0.0,1
0,2020,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-2,22.904792697874406,-0.0766969681344027,0.2311527319292833,0.5809358248140386,2.5223818535741636,2.085277407269522,0.3582565803403715,0.2936884001571169,0.20010987867843294,0.13167259771658976,3.1354942159291497,0,0.4244015529266366,0.8373262873787808,0.3804686129314762,1.7470715042912057,0.349254018798452,0.20574337212494628,0.2431208089632106,8.370271927845454,0.08525052260976049,1.2369232402754324,0.022332078051284024,0.0,1
0,2021,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,0,-1,24.031281098541015,0.03664399087690299,0.2888944841283068,0.20492116342840822,1.4556680544157385,2.156507804679493,0.34144734623432144,0.09430478104697969,0.15457029605186068,0.06660954522453229,3.1780538303479458,1,0.7037297836327273,1.041411083748485,0.46873889152991605,-0.02858065584970839,0.4450512502639797,0.11920295699111653,0.3200337202876876,8.825328151143152,0.07528641180015141,1.1902947352871445,0.030145152249000485,0.0,1
0,2022,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,1,0,23.124755411835203,0.11173495794783855,0.3177692264282667,-0.363309222406785,1.0382257466061366,2.0633565197696386,0.43147894194473135,0.9337001663266901,0.2958562977660984,0.09493500813780276,3.2188758248682006,1,1.7478677135140381,1.002183768127524,0.42749771010347126,0.9602890703858101,0.39817712041058456,0.05510373602817402,0.2521777119307725,7.321310094840027,0.12107246387458181,3.9812266213776746,1.1957584497685974,0.31673440087451565,1
0,2023,13,0,0,1,0.8189437187672941,2.3095252651353975,3.390974939086072,1,1,23.4486987826204,-0.11443443067446635,0.3671593588381883,-0.68,2.9681086112902304,2.2718236754813863,0.3529344964412299,0.09143319587906738,0.37582455749282073,0.03868062315515447,3.258096538021482,0,3.144551852981041,1.4199495862132914,0.32675953267231544,-0.9308123719097351,0.14208616168000457,0.09625679773975736,0.344830649274698,8.190751362412938,0.07868623767989767,6.675008610570155,2.2975289436263027,0.31673440087451565,1
