city,year,g,k,post,lngdp0,lnpop0,aged0,beds0,resident_share,hhi,inflow_type,trend_i,lngdp,lnpop,aged,beds,fisc,hsr,mz_post,drg_post,cfe,yfe,te_outflow,outflow_share,ln_cost_inp,cost_inp,ln_gap,gap_ratio,local_adm_rate,markup,fund_outflow,nonlocal_rev_share,primary_share
0,2015,2019,-4,0.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,11.721630581962424,5.888862943877358,0.11518037376662218,7.784436888645107,0.06868285981793122,0.39918463406958016,0.0,0.0,0.037044874326272015,0.0,0.0,0.03728183927064783,9.118602825892562,9123.44566530327,0.15444637175583503,1.1670116915913684,0.16922807433057982,0.2239682598078164,0.05634966067606495,0.13415796147900316,0.5378527929913057
0,2016,2019,-3,0.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,11.760866341467098,5.913110852238098,0.11704171276440267,8.334344446491912,0.06818521788353349,0.6588120619321327,0.0,0.0,0.037044874326272015,0.006,0.0,0.027120008548878076,9.128610661105531,9215.210021473105,0.16547411523352695,1.1799524195313311,0.1799584060967781,0.24346372755335166,0.0717818515367481,0.16233469094694453,0.5196046584016667
0,2017,2019,-2,0.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,11.832957971237368,5.896664388277657,0.122742926992743,8.18615718255072,0.07552352953051915,0.6419841401440225,0.0,0.0,0.037044874326272015,0.011,0.0,0.02750286531999492,9.140509568941653,9325.515914577567,0.15715745901887201,1.1701798547671753,0.18733937206783588,0.220054455551451,0.06800053950160963,0.15047106658048348,0.5130671209585228
0,2018,2019,-1,0.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,11.889697554149786,5.887310096809954,0.13418683472243975,8.385347823791198,0.07868095056140192,0.6373456002281833,0.0,0.0,0.037044874326272015,0.014,0.0,0.03788784083054493,9.112078524643405,9064.115312357433,0.10257550150212177,1.1080209559983205,0.19979643487685506,0.2523583805557252,0.06994729636127588,0.17694662149660617,0.5312035909456958
0,2019,2019,0,1.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,11.951595638867024,5.909852258033334,0.1402320433410843,8.749004562152084,0.0809823694380717,0.6823200776217476,0.0,1.0,0.037044874326272015,-0.004,0.024458563826322284,0.049871894653247664,9.207293838592179,9969.58102589748,0.1671605913005608,1.1819440600020512,0.1938487301319945,0.2263395182792697,0.08341608882459133,0.2115049415819035,0.5038660602873256
0,2020,2019,1,1.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,11.972347488448005,5.910514906865362,0.14414210790722376,8.518249885591786,0.07719400305163993,0.8146599805510467,0.0,1.0,0.037044874326272015,0.009,0.030977960220331554,0.0672533416692034,9.204040079585234,9937.195128364207,0.1726140172772862,1.1884073118566751,0.1889674131716032,0.17578442065644714,0.09330272910903348,0.21336774154345764,0.5280088824550275
0,2021,2019,2,1.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,12.029172324677004,5.9270951895590835,0.15743994214566173,8.774675840080272,0.08565466525770221,0.8851646330494138,1.0,1.0,0.037044874326272015,0.016,0.03410878045319917,0.06842001640476053,9.277469247137017,10694.332926815716,0.1957933234786769,1.2162755037657216,0.18767948296884857,0.20489692462534273,0.08631088406404851,0.2372639991227033,0.5026115260969638
0,2022,2019,3,1.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,12.16179183879642,5.917334267348099,0.15983928146017856,9.101764766487749,0.07692098562708695,0.9035000313580657,1.0,1.0,0.037044874326272015,0.021,0.03515549599933112,0.06572831707088307,9.253580761917323,10441.888771853159,0.22035677476372195,1.2465213786333997,0.2021536479736456,0.1986365098305718,0.11107775367756557,0.26217331087844575,0.4964240093718563
0,2023,2019,4,1.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,12.236664896549224,5.9053357787071,0.16424258633854735,9.180146106513723,0.08549181491192506,0.9703647448299947,1.0,1.0,0.037044874326272015,0.026,0.0370608667474049,0.07412157580657062,9.358149379604402,11592.914593918467,0.20415697178769743,1.2264906627784795,0.20758108534095182,0.19965611970655756,0.11041829940621016,0.25215305081706063,0.5064839420116616
0,2024,2019,5,1.0,11.67134006986793,5.890479673305883,0.11144004841125525,7.948124499984981,0.5868315298962293,0.2414294128987441,1.0,-0.0015382755302929694,12.224881461727373,5.928353629092842,0.1695219072246782,9.193169250256528,0.08052351751058227,1.0,1.0,1.0,0.037044874326272015,0.03,0.037901340727857204,0.08343497096393107,9.305337557822506,10996.557605214472,0.21005202086699898,1.2337422386283203,0.2190893476349414,0.1811929741085837,0.1139382196965794,0.2715991557207989,0.4991168882004489
1,2015,2023,-8,0.0,10.008569202529529,5.609637837667316,0.14090096717856188,3.725043717221055,0.7476394392161212,0.34964743871553333,0.0,-0.0013716721818476222,9.995240185428123,5.60438395477068,0.13678120909810573,3.6407514669590446,0.07114303445502175,0.3645073082426553,0.0,0.0,-0.03554644384147763,0.0,0.0,0.013017202867714874,8.70726393452811,6046.675733813944,-0.004766725788018657,0.9952446170195092,0.1743488853076803,0.2485684666964004,0.018465297031896998,0.11159080609626812,0.547893797897265
1,2016,2023,-7,0.0,10.008569202529529,5.609637837667316,0.14090096717856188,3.725043717221055,0.7476394392161212,0.34964743871553333,0.0,-0.0013716721818476222,10.057200176459421,5.6250245836780195,0.14957336105666424,3.9190980189359577,0.07658455523717528,0.20851449651094653,0.0,0.0,-0.03554644384147763,0.006,0.0,0.008885124660987807,8.801815159021832,6646.297150015818,0.06109355479013182,1.0629983581236992,0.18703910241287733,0.23078389741113697,0.030379874598276117,0.09425003731752137,0.5249741009892654
