Func,Index,SBOA,SBOA-GPSI,SBOA-LOBL,SBOA-ACGM,MSSBOA
F1,Best,2.619E+02,1.184E+02,1.359E+02,1.024E+02,1.025E+02
,Mean,2.237E+03,3.572E+02,5.792E+02,1.060E+02,1.057E+02
,Std,2.887E+03,3.774E+02,7.105E+02,2.438E+00,2.091E+00
F3,Best,4.157E+02,3.370E+02,7.585E+02,3.069E+02,3.057E+02
,Mean,6.179E+03,1.006E+03,5.858E+03,3.179E+02,3.173E+02
,Std,1.391E+04,6.754E+02,9.920E+03,5.890E+00,6.277E+00
F4,Best,6.269E+04,3.819E+04,1.410E+04,1.027E+04,3.398E+03
,Mean,9.434E+05,6.498E+05,1.855E+05,5.781E+04,1.050E+04
,Std,1.225E+06,7.728E+05,2.147E+05,5.033E+04,4.742E+03
F5,Best,1.022E+04,2.367E+04,2.385E+04,1.248E+04,2.308E+04
,Mean,6.234E+05,2.783E+05,2.434E+05,8.098E+04,5.937E+04
,Std,9.362E+05,3.004E+05,2.842E+05,6.322E+04,2.719E+04
F6,Best,1.786E+04,9.141E+03,1.590E+04,3.774E+03,2.402E+03
,Mean,1.019E+06,6.287E+04,2.107E+05,2.358E+04,5.180E+03
,Std,3.156E+06,5.420E+04,1.699E+05,3.010E+04,2.377E+03
F7,Best,3.691E+04,1.825E+04,2.404E+04,1.537E+04,5.351E+03
,Mean,9.395E+05,2.214E+05,5.243E+05,6.095E+04,1.127E+04
,Std,1.566E+06,2.387E+05,6.229E+05,4.563E+04,5.864E+03
F8,Best,3.424E+04,1.478E+04,6.582E+04,2.610E+04,3.400E+03
,Mean,1.315E+06,1.951E+05,8.061E+05,1.059E+05,1.128E+04
,Std,1.761E+06,2.906E+05,2.258E+06,7.782E+04,5.471E+03
F9,Best,5.293E+04,3.614E+03,2.327E+03,3.543E+03,2.827E+03
,Mean,8.419E+05,2.413E+04,3.024E+04,1.941E+04,6.503E+03
,Std,1.040E+06,2.431E+04,2.968E+04,1.200E+04,2.554E+03
F10,Best,1.166E+04,8.584E+03,3.184E+04,9.792E+03,5.979E+03
,Mean,1.320E+06,1.176E+05,8.372E+05,9.823E+04,1.184E+04
,Std,2.725E+06,1.140E+05,9.423E+05,1.055E+05,6.067E+03
F11,Best,1.650E+07,3.293E+06,3.258E+07,6.620E+06,3.333E+06
,Mean,4.184E+08,3.142E+07,2.564E+08,3.322E+07,8.555E+06
,Std,5.850E+08,2.596E+07,3.452E+08,2.379E+07,4.674E+06
F12,Best,3.465E+07,7.695E+06,1.569E+07,3.182E+06,1.139E+07
,Mean,4.344E+08,5.118E+07,1.784E+08,4.518E+07,4.681E+07
,Std,3.303E+08,3.080E+07,1.782E+08,4.788E+07,2.972E+07
F13,Best,4.466E+06,6.857E+06,1.808E+06,2.384E+06,1.775E+06
,Mean,2.782E+08,3.932E+07,5.135E+07,1.624E+07,4.403E+06
,Std,9.338E+08,2.733E+07,6.522E+07,1.425E+07,2.153E+06
F14,Best,5.502E+06,3.267E+06,4.674E+06,4.364E+06,1.154E+06
,Mean,1.377E+08,5.845E+07,8.266E+07,4.779E+07,3.503E+06
,Std,2.407E+08,4.550E+07,9.932E+07,3.445E+07,1.892E+06
F15,Best,2.362E+07,2.703E+06,3.130E+06,1.042E+06,1.035E+06
,Mean,1.972E+09,4.427E+07,9.027E+07,7.005E+06,4.067E+06
,Std,2.995E+09,3.950E+07,2.539E+08,5.293E+06,2.661E+06
F16,Best,9.835E+06,1.835E+06,1.403E+07,1.011E+06,2.078E+06
,Mean,3.506E+08,2.091E+07,9.035E+07,8.144E+06,6.103E+06
,Std,4.090E+08,1.668E+07,8.202E+07,6.719E+06,3.290E+06
F17,Best,1.982E+07,2.169E+07,2.488E+07,1.983E+07,5.498E+06
,Mean,3.897E+08,1.939E+08,2.430E+08,2.333E+08,1.870E+07
,Std,5.686E+08,1.358E+08,2.949E+08,2.620E+08,1.118E+07
F18,Best,2.151E+06,4.348E+06,2.494E+06,1.131E+06,2.811E+05
,Mean,8.884E+07,3.459E+07,2.005E+07,5.865E+06,1.018E+06
,Std,1.222E+08,4.831E+07,1.643E+07,3.877E+06,6.323E+05
F19,Best,4.929E+06,1.041E+07,4.338E+06,4.191E+06,5.343E+06
,Mean,2.360E+08,9.509E+07,3.390E+08,3.529E+07,1.923E+07
,Std,2.206E+08,1.097E+08,4.316E+08,3.263E+07,1.129E+07
F20,Best,1.245E+07,1.010E+07,1.708E+07,8.055E+06,2.841E+06
,Mean,3.642E+08,6.847E+07,1.699E+08,3.271E+07,1.317E+07
,Std,4.055E+08,4.775E+07,1.490E+08,2.774E+07,6.542E+06
F21,Best,5.664E+04,9.487E+04,5.603E+05,1.369E+05,4.513E+04
,Mean,2.961E+06,1.285E+06,6.483E+06,7.535E+05,1.260E+05
,Std,1.099E+07,1.196E+06,7.721E+06,7.373E+05,6.196E+04
F22,Best,3.208E+05,2.408E+05,5.132E+05,2.601E+05,6.446E+04
,Mean,5.118E+06,3.336E+06,4.346E+06,1.380E+06,2.229E+05
,Std,7.294E+06,3.523E+06,5.640E+06,1.274E+06,1.115E+05
F23,Best,1.256E+05,4.462E+05,6.158E+04,7.037E+04,7.426E+04
,Mean,7.084E+06,4.419E+06,2.387E+06,5.861E+05,2.135E+05
,Std,1.069E+07,4.023E+06,2.114E+06,4.032E+05,9.711E+04
F24,Best,9.357E+04,4.275E+04,2.808E+05,8.943E+04,3.116E+04
,Mean,1.067E+07,4.541E+05,4.419E+06,7.062E+05,6.998E+04
,Std,1.626E+07,3.639E+05,6.177E+06,4.911E+05,3.638E+04
F25,Best,6.963E+04,2.700E+05,4.923E+05,9.546E+04,1.984E+05
,Mean,4.466E+06,2.971E+06,4.432E+06,5.864E+05,4.517E+05
,Std,4.491E+06,4.982E+06,4.306E+06,4.290E+05,1.971E+05
F26,Best,6.274E+05,1.499E+05,2.971E+05,2.648E+05,4.253E+04
,Mean,2.104E+07,1.813E+06,4.497E+06,5.202E+06,2.059E+05
,Std,3.172E+07,1.588E+06,4.411E+06,4.255E+06,7.401E+04
F27,Best,1.575E+06,9.457E+05,1.578E+06,3.757E+05,3.406E+05
,Mean,4.458E+07,1.280E+07,1.697E+07,1.352E+06,1.441E+06
,Std,5.740E+07,1.833E+07,1.571E+07,1.142E+06,8.204E+05
F28,Best,3.964E+04,1.223E+05,1.186E+05,1.724E+05,6.638E+04
,Mean,5.573E+06,2.848E+06,2.577E+06,9.180E+05,1.719E+05
,Std,7.127E+06,2.924E+06,3.607E+06,1.564E+06,8.114E+04
F29,Best,4.210E+05,5.292E+05,1.155E+05,1.306E+05,6.827E+04
,Mean,3.261E+07,2.378E+06,1.432E+06,8.785E+05,1.370E+05
,Std,3.300E+07,1.670E+06,1.359E+06,5.377E+05,6.273E+04
F30,Best,5.438E+05,2.415E+05,1.568E+05,7.308E+04,6.484E+04
,Mean,1.598E+07,2.170E+06,2.081E+06,6.800E+05,1.938E+05
,Std,2.882E+07,2.398E+06,1.804E+06,5.735E+05,8.604E+04
