Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
F1,Best,1.000E+02,1.342E+02,1.114E+02,1.203E+02,1.379E+02,1.211E+02,1.019E+02,1.000E+02,1.043E+02,1.021E+02,1.001E+02
,Mean,1.001E+02,9.218E+02,6.561E+02,2.759E+02,4.836E+02,2.486E+02,1.156E+02,1.001E+02,1.800E+02,1.490E+02,1.003E+02
,Std,2.373E-02,1.243E+03,9.273E+02,1.571E+02,4.846E+02,1.503E+02,1.477E+01,4.977E-02,1.038E+02,5.223E+01,1.395E-01
,Rank,1,11,10,8,9,7,4,2,6,5,3
F3,Best,3.001E+02,4.805E+02,3.948E+02,3.112E+02,5.718E+02,3.116E+02,3.031E+02,3.002E+02,3.251E+02,3.071E+02,3.001E+02
,Mean,3.002E+02,2.894E+03,1.610E+03,4.647E+02,9.834E+03,4.142E+02,3.170E+02,3.006E+02,6.049E+02,3.683E+02,3.002E+02
,Std,7.062E-02,2.947E+03,1.704E+03,1.749E+02,2.122E+04,1.527E+02,1.504E+01,2.440E-01,3.244E+02,4.957E+01,8.264E-02
,Rank,1,10,9,7,11,6,4,3,8,5,2
F4,Best,4.147E+02,7.282E+02,1.480E+03,4.344E+02,2.209E+03,4.743E+02,4.226E+02,4.840E+02,5.308E+02,7.160E+02,4.151E+02
,Mean,4.364E+02,2.683E+04,1.092E+04,1.429E+03,1.120E+05,1.501E+03,5.830E+02,8.420E+02,1.732E+03,2.950E+03,5.029E+02
,Std,1.316E+01,4.297E+04,7.616E+03,1.149E+03,1.560E+05,1.584E+03,1.859E+02,3.982E+02,1.078E+03,2.989E+03,8.378E+01
,Rank,1,10,9,5,11,6,3,4,7,8,2
F5,Best,5.207E+02,8.328E+02,1.490E+03,5.994E+02,2.727E+03,7.958E+02,5.502E+02,5.152E+02,8.289E+02,6.588E+02,5.213E+02
,Mean,5.521E+02,9.753E+04,1.183E+04,3.895E+03,4.997E+04,6.364E+03,8.706E+02,5.941E+02,4.392E+03,1.660E+03,5.939E+02
,Std,2.402E+01,2.713E+05,1.934E+04,4.891E+03,4.911E+04,5.802E+03,3.421E+02,7.040E+01,4.092E+03,1.038E+03,5.896E+01
,Rank,1,11,9,6,10,8,4,3,7,5,2
F6,Best,6.086E+02,2.620E+03,1.780E+03,7.182E+02,1.324E+04,6.479E+02,6.196E+02,6.254E+02,7.018E+02,6.542E+02,6.603E+02
,Mean,6.414E+02,2.108E+04,2.319E+04,1.568E+03,1.979E+05,1.220E+03,7.660E+02,8.405E+02,4.195E+03,1.290E+03,8.984E+02
,Std,1.381E+01,1.938E+04,3.023E+04,1.931E+03,2.392E+05,6.658E+02,1.512E+02,1.721E+02,4.755E+03,8.367E+02,2.275E+02
,Rank,1,9,10,7,11,5,2,3,8,6,4
F7,Best,7.137E+02,8.397E+02,3.688E+03,7.511E+02,2.108E+04,1.531E+03,7.181E+02,7.944E+02,1.105E+03,7.930E+02,9.286E+02
,Mean,7.342E+02,2.241E+04,9.600E+04,1.321E+03,2.702E+05,1.493E+04,8.494E+02,1.184E+03,1.007E+04,1.248E+03,1.386E+03
,Std,1.436E+01,4.877E+04,1.525E+05,6.425E+02,3.513E+05,1.644E+04,1.963E+02,3.016E+02,1.042E+04,4.132E+02,5.218E+02
,Rank,1,9,10,5,11,8,2,3,7,4,6
F8,Best,8.078E+02,3.105E+03,1.886E+03,9.818E+02,5.419E+03,9.507E+02,8.097E+02,8.162E+02,1.051E+03,8.416E+02,8.346E+02
,Mean,8.231E+02,4.681E+04,3.145E+04,3.009E+03,6.932E+05,2.497E+03,9.209E+02,9.387E+02,5.406E+03,1.488E+03,9.428E+02
,Std,1.093E+01,6.710E+04,5.305E+04,2.104E+03,1.922E+06,1.593E+03,1.085E+02,9.283E+01,1.158E+04,9.996E+02,9.180E+01
,Rank,1,10,9,7,11,6,2,3,8,5,4
F9,Best,9.548E+02,1.431E+03,1.745E+03,1.021E+03,4.053E+03,1.159E+03,1.133E+03,9.281E+02,1.046E+03,9.534E+02,9.168E+02
,Mean,1.048E+03,4.563E+04,1.633E+04,2.891E+03,1.535E+05,4.040E+03,2.736E+03,1.061E+03,3.246E+03,2.589E+03,9.879E+02
,Std,5.856E+01,5.147E+04,3.761E+04,2.966E+03,4.048E+05,3.303E+03,2.352E+03,1.466E+02,2.360E+03,1.752E+03,9.428E+01
,Rank,2,10,9,6,11,8,5,3,7,4,1
