Func,Index,SBOA,SBOA-GPSI,SBOA-LOBL,SBOA-ACGM,MSSBOA
F1,Best,1.053E+02,1.029E+02,1.137E+02,1.001E+02,1.001E+02
,Mean,6.196E+02,1.277E+02,2.348E+02,1.002E+02,1.003E+02
,Std,1.605E+03,4.661E+01,1.046E+02,7.397E-02,1.360E-01
F3,Best,3.094E+02,3.211E+02,3.182E+02,3.002E+02,3.001E+02
,Mean,8.989E+02,4.026E+02,4.717E+02,3.005E+02,3.003E+02
,Std,1.282E+03,7.829E+01,1.545E+02,2.056E-01,9.309E-02
F4,Best,4.453E+02,4.302E+02,6.341E+02,4.155E+02,4.126E+02
,Mean,3.642E+03,7.547E+02,4.889E+03,5.512E+02,4.352E+02
,Std,7.089E+03,4.643E+02,5.375E+03,1.312E+02,1.745E+01
F5,Best,6.442E+02,5.525E+02,6.133E+02,5.143E+02,5.066E+02
,Mean,4.873E+03,8.975E+02,1.968E+03,5.594E+02,5.296E+02
,Std,5.384E+03,6.786E+02,1.280E+03,4.843E+01,1.475E+01
F6,Best,6.266E+02,6.132E+02,7.760E+02,8.502E+02,6.157E+02
,Mean,3.687E+03,8.249E+02,1.527E+03,1.605E+03,6.393E+02
,Std,6.558E+03,1.457E+02,7.978E+02,7.927E+02,1.630E+01
F7,Best,9.459E+02,8.465E+02,7.858E+02,8.199E+02,7.836E+02
,Mean,1.392E+04,1.696E+03,3.217E+03,2.027E+03,9.621E+02
,Std,1.651E+04,1.042E+03,2.246E+03,1.519E+03,1.282E+02
F8,Best,8.327E+02,8.075E+02,8.802E+02,8.441E+02,8.077E+02
,Mean,2.958E+03,9.121E+02,1.263E+03,1.139E+03,8.308E+02
,Std,4.856E+03,1.697E+02,4.514E+02,3.352E+02,1.651E+01
F9,Best,9.268E+02,9.049E+02,9.154E+02,9.068E+02,9.114E+02
,Mean,2.417E+03,9.427E+02,1.116E+03,9.471E+02,9.352E+02
,Std,2.665E+03,3.707E+01,3.360E+02,3.576E+01,1.951E+01
F10,Best,1.186E+03,1.082E+03,1.160E+03,1.095E+03,1.060E+03
,Mean,1.831E+04,1.662E+03,2.559E+03,2.107E+03,1.213E+03
,Std,2.572E+04,6.737E+02,1.788E+03,8.996E+02,1.028E+02
F11,Best,3.857E+03,3.474E+03,1.527E+03,1.308E+03,1.282E+03
,Mean,2.970E+04,1.928E+04,5.913E+03,2.835E+03,1.532E+03
,Std,2.437E+04,1.460E+04,5.416E+03,1.642E+03,2.945E+02
F12,Best,6.564E+03,1.537E+03,5.605E+03,2.821E+03,1.369E+03
,Mean,8.939E+04,3.263E+03,4.258E+04,1.051E+04,1.736E+03
,Std,1.366E+05,1.700E+03,5.286E+04,5.649E+03,2.551E+02
F13,Best,3.801E+03,1.605E+03,2.522E+03,1.500E+03,1.564E+03
,Mean,7.053E+04,1.234E+04,1.367E+04,3.580E+03,2.092E+03
,Std,6.805E+04,1.928E+04,1.052E+04,2.334E+03,4.554E+02
F14,Best,4.415E+03,2.359E+03,3.270E+03,2.513E+03,2.296E+03
,Mean,1.020E+05,8.777E+03,1.547E+04,8.871E+03,5.048E+03
,Std,1.462E+05,8.410E+03,1.746E+04,1.039E+04,2.420E+03
F15,Best,2.916E+03,1.683E+03,8.350E+03,2.407E+03,1.984E+03
,Mean,2.894E+04,3.144E+03,6.255E+04,6.743E+03,2.654E+03
,Std,3.305E+04,1.441E+03,8.930E+04,3.614E+03,5.582E+02
