Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
F1,Best,1.000E+02,1.290E+02,1.103E+02,1.018E+02,1.990E+02,1.107E+02,1.009E+02,1.001E+02,1.059E+02,1.051E+02,1.000E+02
,Mean,1.000E+02,3.029E+03,3.795E+02,1.339E+02,3.076E+03,2.063E+02,1.082E+02,1.003E+02,2.558E+02,1.408E+02,1.001E+02
,Std,1.057E-02,3.601E+03,3.535E+02,3.977E+01,5.188E+03,1.177E+02,7.737E+00,1.166E-01,2.197E+02,6.254E+01,4.861E-02
,Rank,1,10,9,5,11,7,4,3,8,6,2
F3,Best,3.000E+02,3.048E+02,3.003E+02,3.037E+02,3.155E+02,3.004E+02,3.001E+02,3.000E+02,3.047E+02,3.009E+02,3.000E+02
,Mean,3.000E+02,6.992E+02,3.644E+02,3.379E+02,9.083E+02,3.220E+02,3.023E+02,3.000E+02,3.449E+02,3.139E+02,3.000E+02
,Std,4.932E-03,6.319E+02,8.164E+01,5.453E+01,7.303E+02,3.088E+01,4.161E+00,1.404E-02,4.929E+01,1.422E+01,5.316E-03
,Rank,2,10,9,7,11,6,4,3,8,5,1
F4,Best,4.024E+02,6.616E+02,4.962E+02,4.105E+02,4.538E+02,4.328E+02,4.190E+02,4.016E+02,4.030E+02,4.164E+02,4.055E+02
,Mean,4.112E+02,1.176E+04,7.117E+03,5.215E+02,1.385E+04,1.066E+03,5.159E+02,4.121E+02,5.206E+02,5.286E+02,4.231E+02
,Std,6.650E+00,1.938E+04,1.112E+04,2.031E+02,1.382E+04,7.423E+02,1.070E+02,7.346E+00,1.717E+02,1.195E+02,1.498E+01
,Rank,1,10,9,6,11,8,4,2,5,7,3
F5,Best,5.020E+02,1.432E+03,5.940E+02,5.031E+02,7.088E+02,5.036E+02,5.029E+02,5.025E+02,5.080E+02,5.161E+02,5.005E+02
,Mean,5.042E+02,3.413E+04,8.144E+03,5.696E+02,5.943E+03,6.130E+02,5.244E+02,5.230E+02,5.629E+02,6.555E+02,5.016E+02
,Std,1.635E+00,4.865E+04,1.328E+04,1.038E+02,8.165E+03,2.503E+02,2.460E+01,1.791E+01,4.630E+01,1.606E+02,7.600E-01
,Rank,2,11,10,6,9,7,4,3,5,8,1
F6,Best,6.017E+02,6.344E+02,6.097E+02,6.094E+02,7.378E+02,6.027E+02,6.041E+02,6.009E+02,6.124E+02,6.033E+02,6.010E+02
,Mean,6.028E+02,1.431E+03,1.381E+03,6.730E+02,3.806E+03,6.494E+02,6.191E+02,6.055E+02,7.203E+02,6.415E+02,6.047E+02
,Std,7.343E-01,9.189E+02,9.280E+02,6.950E+01,3.439E+03,7.445E+01,1.698E+01,4.241E+00,1.157E+02,4.837E+01,4.487E+00
,Rank,1,10,9,7,11,6,4,3,8,5,2
F7,Best,7.012E+02,7.166E+02,7.396E+02,7.060E+02,1.366E+03,7.108E+02,7.054E+02,7.031E+02,7.227E+02,7.153E+02,7.061E+02
,Mean,7.025E+02,1.499E+03,1.751E+03,7.406E+02,2.668E+04,8.244E+02,7.755E+02,7.171E+02,8.909E+02,8.532E+02,7.347E+02
,Std,9.887E-01,9.159E+02,1.341E+03,3.969E+01,5.500E+04,1.810E+02,6.786E+01,1.329E+01,2.375E+02,2.421E+02,2.044E+01
,Rank,1,9,10,4,11,6,5,2,8,7,3
F8,Best,8.033E+02,8.525E+02,8.971E+02,8.166E+02,1.486E+03,8.402E+02,8.138E+02,8.381E+02,8.249E+02,8.295E+02,8.066E+02
,Mean,8.158E+02,6.655E+03,3.571E+03,1.257E+03,2.824E+04,1.356E+03,8.820E+02,1.012E+03,9.714E+02,1.033E+03,8.232E+02
,Std,8.708E+00,1.746E+04,3.657E+03,5.063E+02,6.417E+04,1.190E+03,1.396E+02,2.175E+02,1.282E+02,2.941E+02,2.073E+01
,Rank,1,10,9,7,11,8,3,5,4,6,2
F9,Best,9.044E+02,1.187E+03,1.047E+03,9.162E+02,1.418E+03,9.163E+02,9.029E+02,9.058E+02,9.405E+02,9.064E+02,9.106E+02
,Mean,9.159E+02,8.479E+03,4.589E+03,9.914E+02,1.967E+04,1.030E+03,9.433E+02,9.479E+02,1.285E+03,9.916E+02,9.584E+02
,Std,7.852E+00,1.240E+04,3.470E+03,1.127E+02,3.601E+04,2.221E+02,5.671E+01,5.316E+01,4.281E+02,1.531E+02,4.625E+01
,Rank,1,10,9,5,11,7,2,3,8,6,4
