Func,Index,MSSBOA,SBOA,GWO,COA,SCA,SMA,RIME,QIO,MRFO,GKSO,LSHADE
F1,Best,1.005E+02,6.971E+02,3.123E+02,1.277E+02,4.113E+03,3.492E+02,1.338E+02,1.011E+02,2.067E+02,1.164E+02,1.005E+02
,Mean,1.013E+02,2.142E+04,5.820E+03,3.757E+02,8.005E+04,3.990E+03,3.976E+02,1.034E+02,1.108E+03,2.473E+02,1.013E+02
,Std,5.750E-01,3.306E+04,5.616E+03,3.289E+02,1.332E+05,6.448E+03,2.710E+02,1.209E+00,9.869E+02,1.128E+02,3.584E-01
,Rank,1,10,9,5,11,8,6,3,7,4,2
F3,Best,3.000E+02,3.978E+02,3.487E+02,3.051E+02,6.091E+02,3.275E+02,3.133E+02,3.005E+02,3.024E+02,3.055E+02,3.001E+02
,Mean,3.001E+02,1.763E+03,1.186E+03,3.522E+02,5.822E+03,8.423E+02,3.878E+02,3.009E+02,3.316E+02,3.793E+02,3.004E+02
,Std,5.320E-02,1.705E+03,8.822E+02,5.099E+01,1.087E+04,7.372E+02,7.573E+01,3.384E-01,3.461E+01,9.756E+01,1.326E-01
,Rank,1,10,9,5,11,8,7,3,4,6,2
F4,Best,2.198E+03,4.435E+04,3.810E+04,3.923E+03,1.079E+05,1.199E+04,3.071E+03,2.050E+03,2.886E+04,8.507E+03,2.166E+03
,Mean,6.604E+03,2.102E+06,1.180E+06,3.870E+04,9.633E+06,1.016E+05,2.147E+04,2.792E+04,4.894E+05,8.113E+04,9.601E+03
,Std,2.700E+03,3.804E+06,1.419E+06,3.834E+04,1.586E+07,1.311E+05,1.682E+04,2.243E+04,4.839E+05,8.086E+04,6.726E+03
,Rank,1,10,9,5,11,7,3,4,8,6,2
F5,Best,8.966E+02,6.703E+04,1.650E+04,1.155E+04,2.832E+05,2.465E+03,9.754E+02,1.297E+03,4.511E+03,2.358E+03,8.760E+02
,Mean,1.631E+03,8.592E+05,3.832E+05,1.188E+05,5.381E+06,5.811E+04,3.667E+03,6.999E+03,8.855E+04,2.840E+04,2.241E+03
,Std,5.615E+02,1.161E+06,4.868E+05,1.172E+05,6.790E+06,5.613E+04,3.052E+03,8.079E+03,1.031E+05,2.787E+04,8.629E+02
,Rank,1,10,9,8,11,6,3,4,7,5,2
F6,Best,1.193E+03,9.812E+03,4.153E+03,2.351E+03,3.747E+05,1.731E+03,1.521E+03,1.199E+03,3.517E+03,2.966E+03,1.324E+03
,Mean,2.298E+03,6.934E+05,1.262E+05,1.390E+04,2.292E+06,2.072E+04,1.600E+04,6.390E+03,9.043E+04,2.334E+04,5.432E+03
,Std,5.923E+02,1.141E+06,9.734E+04,1.725E+04,2.816E+06,2.331E+04,1.239E+04,4.637E+03,9.768E+04,2.933E+04,3.931E+03
,Rank,1,10,9,4,11,6,5,3,8,7,2
F7,Best,1.344E+03,1.306E+04,3.550E+04,7.674E+03,6.199E+04,1.074E+04,1.325E+03,1.184E+03,2.871E+03,6.097E+03,1.026E+03
,Mean,2.147E+03,6.602E+05,1.212E+06,5.466E+04,1.360E+06,8.650E+04,5.548E+03,4.418E+03,2.908E+04,2.751E+04,2.882E+03
,Std,6.234E+02,1.456E+06,2.589E+06,3.524E+04,1.968E+06,8.064E+04,6.533E+03,4.106E+03,3.411E+04,2.279E+04,1.667E+03
,Rank,1,9,10,7,11,8,4,3,6,5,2
F8,Best,1.962E+03,3.829E+04,3.010E+04,7.959E+03,7.211E+04,2.250E+03,1.014E+03,2.284E+03,6.279E+03,4.531E+03,4.459E+03
,Mean,3.859E+03,7.025E+05,1.236E+06,4.315E+04,2.185E+06,4.232E+04,5.480E+03,8.325E+03,5.336E+04,2.394E+04,2.793E+04
,Std,1.192E+03,7.310E+05,2.157E+06,3.196E+04,3.276E+06,5.947E+04,1.023E+04,4.338E+03,5.470E+04,1.951E+04,2.621E+04
,Rank,1,9,10,7,11,6,2,3,8,4,5
F9,Best,2.984E+03,2.397E+04,1.043E+04,2.357E+03,4.418E+04,2.133E+03,4.682E+03,4.203E+03,6.876E+03,2.166E+03,1.486E+03
,Mean,6.111E+03,4.678E+05,2.713E+05,2.927E+04,2.541E+06,4.084E+04,2.987E+04,2.383E+04,7.483E+04,1.160E+04,2.963E+03
,Std,2.325E+03,9.812E+05,2.654E+05,2.840E+04,2.671E+06,4.522E+04,2.685E+04,2.830E+04,9.746E+04,1.122E+04,1.060E+03
,Rank,2,10,9,5,11,7,6,4,8,3,1
F10,Best,1.808E+03,1.117E+04,4.079E+03,4.168E+03,3.923E+03,3.377E+03,1.643E+03,1.151E+03,2.374E+03,2.856E+03,1.175E+03
,Mean,2.887E+03,5.719E+05,2.325E+05,8.369E+04,1.441E+05,3.022E+04,6.232E+03,1.962E+03,5.683E+04,2.145E+04,1.937E+03
,Std,8.127E+02,1.478E+06,2.513E+05,9.110E+04,2.383E+05,3.912E+04,6.938E+03,8.996E+02,6.239E+04,1.639E+04,6.738E+02
,Rank,3,11,10,8,9,6,4,2,7,5,1
F11,Best,5.313E+05,1.566E+06,7.635E+06,2.032E+06,4.570E+07,2.080E+06,3.626E+05,1.279E+06,8.487E+05,3.261E+05,2.077E+06
,Mean,9.377E+05,1.755E+08,1.346E+08,3.505E+07,3.116E+09,1.858E+07,3.146E+06,5.779E+06,1.918E+07,5.887E+06,8.218E+06
,Std,3.570E+05,4.146E+08,1.462E+08,3.911E+07,3.321E+09,1.932E+07,2.961E+06,4.895E+06,2.678E+07,8.055E+06,7.813E+06
,Rank,1,10,9,8,11,6,2,3,7,4,5
F12,Best,2.048E+06,8.171E+07,7.704E+07,3.628E+06,1.877E+08,7.218E+06,6.621E+05,3.495E+06,9.480E+06,2.036E+06,4.141E+06
,Mean,6.398E+06,1.341E+09,1.197E+09,4.298E+07,1.498E+10,1.127E+08,6.178E+06,2.424E+07,1.479E+08,4.097E+07,1.611E+07
,Std,3.324E+06,1.859E+09,1.286E+09,3.919E+07,4.501E+10,1.065E+08,7.255E+06,2.400E+07,2.267E+08,4.954E+07,1.298E+07
,Rank,2,10,9,6,11,7,1,4,8,5,3
F13,Best,1.390E+06,6.260E+06,6.517E+06,8.156E+06,4.224E+07,4.900E+06,1.040E+06,1.846E+06,6.928E+06,1.257E+06,9.317E+05
,Mean,3.226E+06,2.379E+08,5.020E+08,1.344E+08,1.165E+09,4.238E+07,1.124E+07,8.535E+06,8.773E+07,1.747E+07,1.111E+07
,Std,1.392E+06,2.495E+08,6.020E+08,2.213E+08,1.345E+09,3.627E+07,1.722E+07,7.515E+06,1.833E+08,1.375E+07,9.246E+06
,Rank,1,9,10,8,11,6,4,2,7,5,3
F14,Best,4.981E+06,5.057E+07,3.769E+07,6.642E+06,2.509E+07,2.375E+06,3.582E+06,4.654E+06,5.818E+06,1.610E+06,9.669E+05
,Mean,1.284E+07,7.153E+08,8.654E+08,7.964E+07,4.798E+08,8.691E+07,2.311E+07,2.905E+07,7.252E+07,2.193E+07,4.598E+06
,Std,6.033E+06,1.085E+09,1.656E+09,6.131E+07,6.310E+08,8.855E+07,2.509E+07,2.997E+07,7.996E+07,1.714E+07,3.879E+06
,Rank,2,10,11,7,9,8,4,5,6,3,1
F15,Best,1.510E+06,1.462E+07,2.342E+07,7.076E+06,4.741E+07,5.780E+05,6.581E+05,7.119E+05,2.165E+06,2.383E+05,1.890E+06
,Mean,3.564E+06,4.905E+08,1.181E+09,5.558E+07,1.411E+09,2.751E+07,3.313E+06,7.124E+06,4.761E+07,3.418E+06,1.687E+07
,Std,1.821E+06,8.265E+08,1.995E+09,7.190E+07,2.377E+09,6.062E+07,4.173E+06,1.043E+07,6.381E+07,4.045E+06,1.010E+07
,Rank,3,9,10,8,11,6,1,4,7,2,5
F16,Best,9.173E+06,1.434E+07,1.324E+07,1.383E+07,1.635E+08,1.396E+07,5.244E+06,7.324E+05,1.591E+07,1.454E+06,2.352E+06
,Mean,2.671E+07,1.380E+09,1.889E+08,1.465E+08,2.626E+09,3.737E+08,8.213E+07,4.456E+06,1.218E+08,1.073E+07,2.076E+07
,Std,1.077E+07,2.062E+09,2.484E+08,1.381E+08,3.246E+09,3.813E+08,9.663E+07,4.436E+06,1.286E+08,1.501E+07,1.279E+07
,Rank,4,10,8,7,11,9,5,1,6,2,3
F17,Best,7.563E+06,2.638E+07,1.413E+08,5.278E+06,4.320E+07,2.406E+07,1.892E+06,3.542E+06,1.680E+07,7.761E+06,1.277E+07
,Mean,1.626E+07,1.014E+09,2.152E+09,1.025E+08,2.917E+09,2.550E+08,2.368E+07,2.397E+07,2.642E+08,8.982E+07,6.148E+07
,Std,6.335E+06,1.977E+09,3.771E+09,9.391E+07,5.186E+09,2.040E+08,3.002E+07,1.750E+07,3.514E+08,9.020E+07,4.390E+07
,Rank,1,9,10,6,11,7,2,3,8,5,4
F18,Best,6.876E+05,9.526E+06,3.728E+07,2.945E+06,1.566E+08,4.376E+06,6.062E+05,3.266E+06,7.921E+06,3.790E+05,1.204E+06
,Mean,2.532E+06,6.503E+08,1.521E+09,5.289E+07,8.969E+09,1.102E+08,4.722E+06,2.339E+07,1.247E+08,8.324E+06,5.094E+06
,Std,9.987E+05,7.182E+08,1.199E+09,3.507E+07,1.050E+10,1.612E+08,4.220E+06,2.096E+07,1.251E+08,8.413E+06,3.504E+06
,Rank,1,9,10,6,11,7,2,5,8,4,3
F19,Best,1.429E+06,1.312E+08,1.162E+09,1.821E+06,1.728E+08,6.234E+06,4.669E+05,3.539E+06,7.119E+06,6.078E+06,6.647E+05
,Mean,4.324E+06,4.553E+09,1.170E+10,6.466E+07,1.684E+10,8.753E+07,4.530E+06,1.517E+07,7.138E+07,8.116E+07,8.669E+06
,Std,1.741E+06,9.206E+09,1.639E+10,7.479E+07,3.047E+10,8.606E+07,1.226E+07,1.334E+07,8.347E+07,8.552E+07,8.630E+06
,Rank,1,9,10,5,11,8,2,4,6,7,3
F20,Best,1.164E+06,3.153E+06,9.015E+06,3.195E+06,8.563E+07,4.464E+06,2.019E+06,6.341E+05,8.627E+06,7.544E+05,1.407E+06
,Mean,4.106E+06,1.407E+08,6.514E+08,7.635E+07,1.673E+09,1.512E+08,1.424E+07,1.064E+07,7.479E+07,1.804E+07,6.615E+06
,Std,1.375E+06,4.292E+08,9.589E+08,1.823E+08,2.098E+09,2.185E+08,1.365E+07,8.896E+06,7.945E+07,2.441E+07,3.270E+06
,Rank,1,8,10,7,11,9,4,3,6,5,2
F21,Best,1.365E+04,1.775E+05,2.646E+05,4.296E+04,4.565E+06,1.133E+06,4.629E+04,3.699E+04,5.923E+05,3.646E+04,6.268E+04
,Mean,2.979E+04,6.489E+06,3.874E+06,1.114E+06,4.393E+07,2.563E+07,1.859E+05,2.664E+05,8.483E+06,6.244E+05,1.936E+05
,Std,1.382E+04,1.204E+07,3.856E+06,8.304E+05,4.952E+07,2.643E+07,1.525E+05,1.811E+05,9.165E+06,7.589E+05,1.185E+05
,Rank,1,8,7,6,11,10,2,4,9,5,3
F22,Best,5.613E+04,5.211E+05,2.106E+05,2.083E+05,6.530E+06,1.316E+05,1.213E+05,7.182E+04,8.003E+05,3.628E+04,9.405E+04
,Mean,1.194E+05,2.739E+07,2.368E+07,3.787E+06,1.147E+08,2.473E+06,1.305E+06,3.310E+05,9.897E+06,5.174E+05,4.050E+05
,Std,4.447E+04,4.352E+07,2.166E+07,4.728E+06,1.669E+08,3.895E+06,1.175E+06,2.159E+05,1.001E+07,4.766E+05,2.409E+05
,Rank,1,10,9,7,11,6,5,2,8,4,3
F23,Best,3.607E+04,3.720E+05,1.089E+06,8.309E+04,2.995E+06,8.309E+04,5.116E+04,5.727E+04,5.324E+05,1.355E+04,3.987E+05
,Mean,7.444E+04,1.937E+07,6.189E+07,9.444E+05,1.058E+08,1.495E+06,2.132E+05,2.766E+05,3.962E+06,2.104E+05,1.564E+06
,Std,2.643E+04,3.259E+07,7.701E+07,1.267E+06,2.171E+08,1.442E+06,1.445E+05,2.578E+05,5.062E+06,1.882E+05,1.219E+06
,Rank,1,9,10,5,11,6,3,4,8,2,7
F24,Best,1.095E+05,5.181E+05,4.455E+06,2.028E+05,1.733E+06,4.926E+05,2.475E+05,6.177E+04,2.152E+05,2.832E+05,1.470E+05
,Mean,2.394E+05,3.242E+07,3.995E+07,1.449E+06,1.042E+08,6.178E+06,1.208E+06,5.099E+05,1.759E+06,3.279E+06,6.088E+05
,Std,8.414E+04,4.600E+07,5.651E+07,1.196E+06,2.248E+08,7.451E+06,1.063E+06,3.076E+05,1.687E+06,3.413E+06,3.759E+05
,Rank,1,9,10,5,11,8,4,2,6,7,3
F25,Best,3.505E+04,2.605E+05,6.344E+05,7.598E+04,2.186E+06,1.352E+05,3.414E+04,2.683E+04,1.903E+04,1.006E+05,6.865E+04
,Mean,7.608E+04,2.526E+07,2.388E+07,2.599E+06,9.772E+07,2.432E+06,1.826E+05,1.037E+05,7.210E+05,1.833E+06,5.375E+05
,Std,2.603E+04,5.110E+07,4.004E+07,2.949E+06,1.885E+08,3.292E+06,2.211E+05,7.819E+04,7.369E+05,3.977E+06,4.324E+05
,Rank,1,10,9,8,11,7,3,2,5,6,4
F26,Best,5.676E+04,1.547E+05,1.435E+05,7.657E+04,1.098E+06,7.152E+04,1.389E+04,4.568E+04,6.128E+05,3.880E+05,2.303E+04
,Mean,1.659E+05,9.606E+06,1.529E+07,7.354E+05,6.505E+07,5.077E+05,5.959E+04,1.652E+05,4.283E+06,5.479E+06,3.500E+05
,Std,9.318E+04,1.681E+07,1.779E+07,7.080E+05,1.675E+08,4.441E+05,7.157E+04,1.315E+05,5.478E+06,6.235E+06,2.214E+05
,Rank,3,9,10,6,11,5,1,2,7,8,4
F27,Best,7.859E+04,7.065E+04,5.360E+05,4.118E+05,5.279E+06,1.118E+05,3.438E+04,6.071E+03,6.635E+04,1.286E+04,2.359E+04
