Algorithm,Parameter settings
MSSBOA,"N=30, N_min=0.2N, p_m=0.5, beta=1.5"
SBOA,"N=30, beta=1.5"
GWO,"N=30, a decreases linearly from 2 to 0"
SCA,"N=30, a=2"
SMA,"N=30, z=0.03"
COA,"N=30, control parameter decreases with iteration"
GKSO,"N=30, default control parameters"
MRFO,"N=30, somersault factor S=2"
RIME,"N=30, W=5"
QIO,"N=30, default control parameters"
LSHADE,"N_init=18D, N_min=4, memory size H=6, p=0.11, arc rate=2.6"
