Func,Index,SBOA,SBOA-GPSI,SBOA-LOBL,SBOA-ACGM,MSSBOA
F1,Best,1.610E+02,2.342E+02,1.154E+02,1.056E+02,1.008E+02
,Mean,5.055E+03,5.994E+02,1.101E+03,1.142E+02,1.020E+02
,Std,1.470E+04,4.431E+02,1.904E+03,6.253E+00,7.732E-01
F3,Best,3.209E+02,3.060E+02,3.131E+02,3.005E+02,3.001E+02
,Mean,9.062E+02,3.701E+02,4.105E+02,3.014E+02,3.003E+02
,Std,6.737E+02,9.948E+01,1.550E+02,5.302E-01,1.030E-01
F4,Best,7.167E+02,6.368E+02,5.111E+02,5.965E+02,9.651E+02
,Mean,2.398E+04,2.695E+03,6.669E+03,2.235E+03,1.832E+03
,Std,4.483E+04,2.204E+03,6.297E+03,1.527E+03,7.827E+02
F5,Best,8.227E+02,1.201E+03,5.726E+02,6.210E+02,5.494E+02
,Mean,1.128E+04,4.149E+03,5.206E+03,1.472E+03,6.174E+02
,Std,2.182E+04,3.280E+03,4.412E+03,7.366E+02,5.524E+01
F6,Best,2.446E+03,2.247E+03,1.327E+03,1.310E+03,8.512E+02
,Mean,5.315E+04,2.691E+04,8.644E+03,5.073E+03,1.475E+03
,Std,6.258E+04,2.833E+04,7.575E+03,3.932E+03,5.336E+02
F7,Best,1.085E+03,1.232E+03,8.486E+02,8.388E+02,8.085E+02
,Mean,8.877E+03,5.183E+03,2.933E+03,1.388E+03,1.011E+03
,Std,2.156E+04,4.424E+03,2.495E+03,5.506E+02,1.493E+02
F8,Best,1.269E+03,1.017E+03,8.788E+02,1.442E+03,8.841E+02
,Mean,2.879E+04,2.937E+03,3.167E+03,5.296E+03,1.233E+03
,Std,3.584E+04,2.104E+03,5.354E+03,4.069E+03,2.781E+02
F9,Best,1.062E+03,1.301E+03,1.438E+03,1.187E+03,1.468E+03
,Mean,6.883E+04,3.634E+03,4.595E+03,3.912E+03,2.262E+03
,Std,1.498E+05,3.905E+03,3.797E+03,2.810E+03,7.450E+02
F10,Best,1.154E+03,1.784E+03,1.051E+03,1.108E+03,1.042E+03
,Mean,8.270E+03,4.698E+03,3.192E+03,1.608E+03,1.103E+03
,Std,1.445E+04,2.601E+03,4.491E+03,4.288E+02,5.289E+01
F11,Best,8.843E+03,1.017E+04,1.060E+04,1.543E+04,1.465E+04
,Mean,5.376E+05,2.187E+05,8.635E+04,6.184E+04,4.858E+04
,Std,5.461E+05,1.921E+05,7.490E+04,4.728E+04,2.538E+04
F12,Best,4.115E+04,3.750E+04,1.583E+04,5.528E+04,1.638E+04
,Mean,8.952E+05,2.609E+05,2.063E+05,2.934E+05,7.124E+04
,Std,9.181E+05,1.609E+05,2.104E+05,2.371E+05,4.467E+04
F13,Best,3.253E+04,5.434E+04,7.340E+04,1.768E+05,5.072E+03
,Mean,2.021E+06,6.049E+05,6.386E+05,7.782E+05,1.427E+04
,Std,2.523E+06,4.616E+05,7.813E+05,7.896E+05,6.107E+03
F14,Best,6.663E+04,4.900E+04,1.296E+05,8.900E+04,6.904E+04
,Mean,2.688E+06,4.314E+05,2.004E+06,2.885E+05,1.852E+05
,Std,4.576E+06,3.922E+05,2.070E+06,2.358E+05,9.053E+04
F15,Best,8.964E+03,1.108E+04,5.072E+04,7.266E+03,2.562E+03
,Mean,7.094E+05,1.524E+05,2.955E+05,2.311E+04,5.385E+03
,Std,9.194E+05,1.241E+05,2.960E+05,1.681E+04,1.646E+03
F16,Best,3.131E+04,1.884E+04,1.742E+04,6.462E+03,4.444E+03
,Mean,1.400E+06,1.287E+05,1.888E+05,5.286E+04,1.095E+04
,Std,1.660E+06,1.401E+05,2.326E+05,3.736E+04,4.669E+03
F17,Best,3.478E+04,1.648E+05,3.295E+04,1.004E+04,2.612E+04
,Mean,4.262E+06,1.408E+06,8.537E+05,1.200E+05,5.452E+04
,Std,6.285E+06,1.561E+06,9.809E+05,1.171E+05,1.890E+04
F18,Best,3.727E+04,2.351E+04,8.165E+04,4.249E+04,1.549E+04
,Mean,1.792E+06,3.316E+05,9.519E+05,2.163E+05,4.845E+04
,Std,4.405E+06,3.699E+05,1.248E+06,1.702E+05,2.493E+04
F19,Best,2.887E+05,5.325E+04,8.365E+04,5.776E+04,4.235E+04
,Mean,1.252E+07,2.650E+05,1.113E+06,2.648E+05,1.512E+05
,Std,1.304E+07,2.579E+05,1.086E+06,1.818E+05,7.264E+04
F20,Best,4.050E+04,4.600E+04,7.457E+03,2.904E+04,8.110E+03
,Mean,2.487E+06,6.988E+05,2.384E+05,1.434E+05,1.792E+04
,Std,3.741E+06,8.650E+05,2.105E+05,1.232E+05,6.950E+03
