pid,prov,year,t,region,manu_share,prov_a,edu_base,ai,lnai,ai_std,routine,newjob,match,lnpgdp,indus,open,urban,fis,wage,edu_level,train,lnyemp,yshare,hskill,lskill,yunemp,ai_sq,lnai_sq,iv_bartik,iv_hist
0,北京,2013,0,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,1.016236368761852,0.7012325897459479,-1.4881153822620958,47.136282207994704,1.4652003837669583,0.3212280873795857,11.058060136152859,1.6878781856912202,41.89348254280863,58.228444936960095,24.950445652011343,10.994578680048878,41.38847771845076,14.875733510436486,6.926445105262886,27.584412483109013,26.266919500406644,34.087720579824946,9.429757875560046,2.2144873909250635,0.4917271449218089,2.9371693557021916,0.1928620251196964
0,北京,2014,1,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,1.1944540798843177,0.7859333048346318,-1.379388717355485,42.44231993381431,1.2,0.3378500937590711,11.09710772437949,1.100141864411197,52.010344570807796,62.17816882570012,14.678104111772274,11.19387478344378,40.22954091162178,17.141164262954085,6.891159317892322,28.721382344399483,32.29241704008068,32.80048687951773,8.68783237509486,1.9027132335676102,0.6176911596482862,3.5006960344124955,0.2892930376795446
0,北京,2015,2,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,2.369028642838211,1.214624466269608,-0.8290963118077345,42.38964602399059,5.707042258067474,0.6236984283844862,11.259209931147188,1.3406999808027638,45.52278765489833,65.44400722065726,19.563889121562667,11.034417678753929,44.2328972610285,16.605688215167742,6.927946532517312,26.96237780073194,36.62847031653603,33.713486670883,9.991386968952883,0.6874006942531881,1.47531259406073,4.166682109251946,0.4362355330088371
0,北京,2016,3,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,3.0576677229718396,1.4006083560826148,-0.5903567917865103,40.56105275882056,1.5146603591173595,0.32871038759871374,11.329121151411414,1.3243321411048743,39.286071291954364,55.86128606292296,20.506068664872746,11.126938634579481,46.854525706759475,15.143141888746749,6.727186800073996,28.632221805906852,35.6596275731454,30.98715943204374,11.210089559196913,0.34852114160846115,1.9617037671284447,4.918051014199019,0.6336895111075739
0,北京,2017,4,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,4.368732503732938,1.6805918478362358,-0.23095402576020713,41.85498074457534,2.8102497259437307,0.5771384126977291,11.176482065290639,1.576916121297843,48.14933427894566,69.750669855851,22.516464338901017,11.21993832130945,45.48631338523766,14.58134616297925,6.798810506595856,26.9282281330425,35.01149225902761,32.12132180879966,8.35099428814209,0.053339762014846415,2.8243889590136138,5.720649617210664,0.8816549719757549
0,北京,2018,5,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,5.132909866767428,1.8136693301013884,-0.06012818555674241,38.86280454621345,9.487395215297836,0.5159213570177175,10.987467325133121,1.5376987246473464,52.979469517488496,59.832077918184375,23.132178231667524,11.161772696586347,45.39131309044624,15.549012191355732,6.920000024024695,25.547134197335662,35.24245691242055,29.710515568415467,9.51320063484064,0.0036153986983460465,3.289396438950419,6.694013880437552,1.244419257319946
0,北京,2019,6,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,7.845752819843487,2.179937436465126,0.4100344290669144,39.703180311848584,10.191877959334803,0.6554641185008767,11.39357303983179,1.4472984640454478,49.4121374823495,70.00114160799265,20.531956891070656,11.3537439131244,51.21397071965809,16.454031203207606,7.037467989793004,28.419472716028125,37.263404509521656,25.67606267570763,12.634335771944901,0.16812823302023044,4.752127226902146,7.616148445599869,1.6163674486222175
0,北京,2020,7,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,7.937058263329445,2.1902064817166464,0.42321636077556474,37.990059778710766,5.539557744543327,0.5870572124744542,11.466793747359672,1.722303391867949,31.828430114545892,69.2504921212172,26.39759403310508,11.758588079194519,47.620907066177175,17.85190927170364,6.840319858968609,25.84016120467143,38.42322062631895,28.42744863437058,11.925888479553153,0.17911208802811296,4.797004432553611,8.452900180654563,1.9194363452388832
0,北京,2021,8,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,9.560345629812915,2.3571060078384174,0.6374581039617251,35.66759459289542,9.594869300468856,0.6789524552474527,11.28445233844802,1.7684030306801939,54.48585262097415,67.4987909344352,24.480210935400585,11.577322661641158,52.24273457439218,20.754639295585715,6.975386067361587,26.922289647255724,36.67497432693074,25.631438758809864,13.478686670566987,0.4063528343064775,5.555948732187962,9.18719251958011,2.3235282073944377
0,北京,2022,9,0,0.1707656602152437,1.2011520878469475,0.8622056626605736,11.657571456626025,2.538255570244058,0.8699920058188144,38.487212785915524,10.54579541065164,0.7466022148974484,11.301907580535273,1.5926659901134748,37.2191609555462,74.0215299754604,23.21931309003334,11.497051661324475,53.94717580070341,19.646947517940937,6.977853244983745,29.555579126227972,36.69561596566748,26.778857431656267,10.058120924878608,0.7568860901886441,6.442741339874988,10.28009274495767,2.9158901416906478
