city,year,g,k,post,dev,rate
0,2018,2024,-6,0.0,1.952777846574772,0.9251400480255811
0,2019,2024,-5,0.0,1.952777846574772,0.9348800522749492
0,2020,2024,-4,0.0,1.952777846574772,0.9291056015494571
0,2021,2024,-3,0.0,1.952777846574772,0.9449444602029938
0,2022,2024,-2,0.0,1.952777846574772,0.9176435293426232
0,2023,2024,-1,0.0,1.952777846574772,0.9278074146350533
0,2024,2024,0,1.0,1.952777846574772,0.958183021857147
0,2025,2024,1,1.0,1.952777846574772,0.9602800986320724
1,2018,2023,-5,0.0,0.06967108969979974,0.8996622991709439
1,2019,2023,-4,0.0,0.06967108969979974,0.9084083103320378
1,2020,2023,-3,0.0,0.06967108969979974,0.9217081869869067
1,2021,2023,-2,0.0,0.06967108969979974,0.9223478922434553
1,2022,2023,-1,0.0,0.06967108969979974,0.8956252548246363
1,2023,2023,0,1.0,0.06967108969979974,0.9072449325003562
1,2024,2023,1,1.0,0.06967108969979974,0.9383372981146415
1,2025,2023,2,1.0,0.06967108969979974,0.9499782330596489
2,2018,2023,-5,0.0,0.7671069998707813,0.9185643892750045
2,2019,2023,-4,0.0,0.7671069998707813,0.9128318007925271
2,2020,2023,-3,0.0,0.7671069998707813,0.9244596177675397
2,2021,2023,-2,0.0,0.7671069998707813,0.9253116749581961
2,2022,2023,-1,0.0,0.7671069998707813,0.9087445147633039
2,2023,2023,0,1.0,0.7671069998707813,0.9159099466763961
2,2024,2023,1,1.0,0.7671069998707813,0.9568607062726185
2,2025,2023,2,1.0,0.7671069998707813,0.9607609094192381
3,2018,2022,-4,0.0,1.431117077420562,0.9250095795335234
3,2019,2022,-3,0.0,1.431117077420562,0.9298644166808444
3,2020,2022,-2,0.0,1.431117077420562,0.9397682235949385
3,2021,2022,-1,0.0,1.431117077420562,0.9416087705922588
3,2022,2022,0,1.0,1.431117077420562,0.92102171667397
3,2023,2022,1,1.0,1.431117077420562,0.9327175239008048
3,2024,2022,2,1.0,1.431117077420562,0.9534933458311906
3,2025,2022,3,1.0,1.431117077420562,0.9641998710523018
4,2018,2022,-4,0.0,0.5745541692680562,0.9091534529893118
4,2019,2022,-3,0.0,0.5745541692680562,0.9188963772761233
4,2020,2022,-2,0.0,0.5745541692680562,0.9166039971024118
4,2021,2022,-1,0.0,0.5745541692680562,0.9245806093962521
4,2022,2022,0,1.0,0.5745541692680562,0.9215564914673413
4,2023,2022,1,1.0,0.5745541692680562,0.9230811684508866
4,2024,2022,2,1.0,0.5745541692680562,0.9515981649222741
4,2025,2022,3,1.0,0.5745541692680562,0.9585134474897405
5,2018,2024,-6,0.0,-0.8401491784298718,0.8953845983874886
5,2019,2024,-5,0.0,-0.8401491784298718,0.8940000555027132
5,2020,2024,-4,0.0,-0.8401491784298718,0.8987107691639001
